Danish,English
hvide,White
fly,aircraft
miss,Miss
syg,ill
hænder,hands
spil,game
bekymret,concerned
husk,Remember
elske,love
sendte,sent
begynder,begins
sætte,put
sikkerhed,security
rejse,trip
forsvind,get lost
glemme,forget
blot,Just
blot,Just
stod,stood
stolt,proud
vii,we you
alting,everything
konge,king
vis,View
dame,Lady
præcis,exact
oppe,up
flyve,fly
øjne,eyes
mund,mouth
mester,master
udenfor,Outside
tingene,the things
fare,danger
dårligt,bad
løgn,lie
oberst,colonel
York,York
fald,fall
doktor,doctor
dårligt,bad
nemlig,Exactly
otte,Eight
netop,exactly
røven,The ass
millioner,Millions
betaler,pays
begynde,begin
mødte,met
tom,empty
forkert,wrong
derude,out there
magt,power
taber,loser
søster,sister
bryder,Breaks
sid,Sid
blot,Just
vinde,win
fader,Father
derinde,in there
direkte,direct
send,Send
fyren,the guy
fars,Father
vende,reverse
vild,wild
